t,ID,z,bvs,FixRepro,bvr,food,s,ARS,age,p1,p2,phi
 1 , 1 , 11.36531 , -0.219691 , -0.3623777 , -0.3623777 , 56 , F , 0 , 1 , NA , NA , 1
 1 , 3 , 10.91655 , 0.7586034 , 0.7431717 , 0.7431717 , 62 , F , 0 , 1 , NA , NA , 1
 1 , 6 , 15.17318 , 0.2030747 , 0.0121612 , 0.0121612 , 66 , M , 0 , 1 , NA , NA , 1
 1 , 7 , 13.43569 , -0.06619579 , -0.8650552 , -0.8650552 , 66 , F , 1 , 1 , NA , NA , 1
 1 , 8 , 11.43947 , 0.6017662 , 1.127055 , 1.127055 , 58 , F , 1 , 1 , NA , NA , 1
 1 , 9 , 12.24177 , -0.2781131 , -0.5323259 , -0.5323259 , 58 , M , 0 , 1 , NA , NA , 1
 1 , 10 , 11.84975 , 0.4669591 , -0.08994638 , -0.08994638 , 59 , F , 0 , 1 , NA , NA , 1
 1 , 11 , 11.85817 , 0.6063608 , -0.9320799 , -0.9320799 , 64 , M , 0 , 1 , NA , NA , 1
 1 , 12 , 10.64361 , 0.276213 , -0.5314716 , -0.5314716 , 66 , F , 0 , 1 , NA , NA , 1
 1 , 13 , 11.77127 , -1.726526 , 0.1690823 , 0.1690823 , 53 , M , 0 , 1 , NA , NA , 1
 1 , 15 , 11.78791 , -0.3282145 , -0.4887 , -0.4887 , 60 , M , 0 , 1 , NA , NA , 1
 1 , 16 , 14.49235 , 0.564878 , -0.6214229 , -0.6214229 , 48 , F , 0 , 1 , NA , NA , 1
 1 , 17 , 11.34627 , -0.1555666 , 0.205436 , 0.205436 , 46 , M , 0 , 1 , NA , NA , 1
 1 , 18 , 11.57461 , -0.6865841 , 0.864941 , 0.864941 , 56 , M , 0 , 1 , NA , NA , 1
 1 , 19 , 8.969714 , -0.8263739 , -0.662887 , -0.662887 , 45 , M , 0 , 1 , NA , NA , 1
 1 , 22 , 12.84802 , 0.2410221 , -0.3816271 , -0.3816271 , 69 , F , 1 , 1 , NA , NA , 1
 1 , 24 , 11.95279 , -0.1139206 , -0.1179307 , -0.1179307 , 56 , F , 0 , 1 , NA , NA , 1
 1 , 25 , 11.72686 , -0.03642937 , 0.1363437 , 0.1363437 , 60 , M , 0 , 1 , NA , NA , 1
 1 , 26 , 10.17812 , -0.185323 , -0.8725929 , -0.8725929 , 63 , M , 0 , 1 , NA , NA , 1
 1 , 27 , 9.926391 , -0.2167405 , -0.3727349 , -0.3727349 , 67 , F , 0 , 1 , NA , NA , 1
 1 , 28 , 14.34587 , -0.146078 , -2.513186 , -2.513186 , 54 , F , 0 , 1 , NA , NA , 1
 1 , 29 , 16.2837 , 0.480509 , -0.3716682 , -0.3716682 , 51 , F , 1 , 1 , NA , NA , 1
 1 , 31 , 9.755791 , -0.8050657 , -0.8131086 , -0.8131086 , 54 , F , 1 , 1 , NA , NA , 1
 1 , 35 , 12.21816 , 0.005053102 , -0.07232577 , -0.07232577 , 49 , M , 0 , 1 , NA , NA , 1
 1 , 36 , 9.089358 , -0.4368748 , 0.9334473 , 0.9334473 , 53 , F , 1 , 1 , NA , NA , 1
 1 , 37 , 14.55327 , 0.804845 , -0.7036202 , -0.7036202 , 58 , M , 0 , 1 , NA , NA , 1
 1 , 38 , 11.03297 , 0.1646685 , -1.722774 , -1.722774 , 51 , F , 1 , 1 , NA , NA , 1
 1 , 39 , 13.23167 , -0.6556979 , -1.094837 , -1.094837 , 52 , M , 0 , 1 , NA , NA , 1
 1 , 40 , 14.49424 , 0.2577485 , -0.1766367 , -0.1766367 , 60 , F , 1 , 1 , NA , NA , 1
 1 , 41 , 13.74942 , 0.4720626 , 0.3493371 , 0.3493371 , 54 , M , 0 , 1 , NA , NA , 1
 1 , 42 , 15.14413 , -0.1483671 , 0.6662369 , 0.6662369 , 57 , F , 0 , 1 , NA , NA , 1
 1 , 43 , 12.63658 , 0.418326 , 0.5558847 , 0.5558847 , 54 , M , 0 , 1 , NA , NA , 1
 1 , 45 , 12.75832 , -0.4960046 , 0.564457 , 0.564457 , 61 , M , 0 , 1 , NA , NA , 1
 1 , 47 , 13.48867 , 0.4459017 , 0.419153 , 0.419153 , 54 , F , 0 , 1 , NA , NA , 1
